CLEAR_CAUSE,CHARGEABLE_SUBS_ID,CHARGEABLE_CUSTOMER_ID,EVENT_PARAMETER4,RATING_PARAMETER1,CHARGEABLE_WALLET_TYPE_ID,ENDING_BALANCE,AMOUNT_CHARGED,AMOUNT_CHARGED1,AMOUNT_CHARGED2,AMOUNT_CHARGED3,PRICE_ITEM_ID1,LAYOUT_ROW_ID1,ACCUMULATOR_ID1,PRODUCT_LAYOUT_ROW_ID,DAYS_OF_RC,PRICE_PER_ITEM,PRODUCT_ID,PAYMENT_NUMBER,PAYMENT_ID,SUBS_REF_NUMBER,TOTAL_TAX,MAIN_ACCUMULATOR_ID,TAX_BASE_AMOUNT1,TAX_BASE_AMOUNT2,RATING_PARAMETER8,SL_SEIZE_TIME,COMMENTS
0,200708710,100553352,179.0,179.0,13,10.481817,2.6,2.1186439999999997,0.084746,0.39661,2759,5154,1522,5110.0,7.0,2.1186439999999997,179.0,1.0,157780000000.0,9789.0,0.48135600000000006,1522.0,2.20339,2.1186439999999997,2.200000000000001e+183,12/30/1899,Charge payment for bundle renewal/activated
0,200712810,100556400,1001.0,1001.0,13,0.540509,4.679999,3.8135589999999997,0.152542,0.7138979999999999,2760,5155,1523,5111.0,30.0,3.8135589999999997,1001.0,1.0,157780000000.0,2158.0,0.86644,1523.0,3.966101,3.8135589999999997,4.200000000000002e+183,12/30/1899,Charge payment for bundle renewal/activated
0,200744291,100578386,1001.0,1001.0,13,0.348722,4.679999,3.8135589999999997,0.152542,0.7138979999999999,2760,5155,1523,5111.0,30.0,3.8135589999999997,1001.0,1.0,157780000000.0,15176.0,0.86644,1523.0,3.966101,3.8135589999999997,4.200000000000002e+183,12/30/1899,Charge payment for bundle renewal/activated
0,200604260,100482208,179.0,179.0,13,8.408772,2.6,2.1186439999999997,0.084746,0.39661,2759,5154,1522,5110.0,7.0,2.1186439999999997,179.0,1.0,157780000000.0,12139.0,0.48135600000000006,1522.0,2.20339,2.1186439999999997,2.200000000000001e+183,12/30/1899,Charge payment for bundle renewal/activated
0,200409246,100353903,179.0,179.0,13,11.263908,2.6,2.1186439999999997,0.084746,0.39661,2759,5154,1522,5110.0,7.0,2.1186439999999997,179.0,1.0,157780000000.0,1110.0,0.48135600000000006,1522.0,2.20339,2.1186439999999997,2.200000000000001e+183,12/30/1899,Charge payment for bundle renewal/activated
0,200233287,100229338,174.0,174.0,13,2.068264,0.52,0.423729,0.016949000000000002,0.079322,2758,5153,1521,5109.0,2.0,0.423729,174.0,1.0,157780000000.0,1110.0,0.09627100000000001,1521.0,0.44067799999999996,0.423729,1.1000000000000004e+183,12/30/1899,Charge payment for bundle renewal/activated
0,200519393,100428525,1001.0,1001.0,13,11.908064,4.679999,3.8135589999999997,0.152542,0.7138979999999999,2760,5155,1523,5111.0,30.0,3.8135589999999997,1001.0,1.0,157780000000.0,15061.0,0.86644,1523.0,3.966101,3.8135589999999997,4.200000000000002e+183,12/30/1899,Charge payment for bundle renewal/activated
0,200763999,100592564,1001.0,1001.0,13,4.843933,4.679999,3.8135589999999997,0.152542,0.7138979999999999,2760,5155,1523,5111.0,30.0,3.8135589999999997,1001.0,1.0,157780000000.0,10463.0,0.86644,1523.0,3.966101,3.8135589999999997,4.200000000000002e+183,12/30/1899,Charge payment for bundle renewal/activated
0,200639034,100504473,1001.0,1001.0,13,5.194564,4.679999,3.8135589999999997,0.152542,0.7138979999999999,2760,5155,1523,5111.0,30.0,3.8135589999999997,1001.0,1.0,157780000000.0,8533.0,0.86644,1523.0,3.966101,3.8135589999999997,4.200000000000002e+183,12/30/1899,Charge payment for bundle renewal/activated
0,200321107,100294656,179.0,179.0,13,1.171073,2.6,2.1186439999999997,0.084746,0.39661,2759,5154,1522,5110.0,7.0,2.1186439999999997,179.0,1.0,157780000000.0,17886.0,0.48135600000000006,1522.0,2.20339,2.1186439999999997,2.100000000000001e+183,12/30/1899,Charge payment for bundle renewal/activated
0,200272004,100259935,174.0,174.0,13,9.916557000000001,0.52,0.423729,0.016949000000000002,0.079322,2758,5153,1521,5109.0,2.0,0.423729,174.0,1.0,157780000000.0,2203.0,0.09627100000000001,1521.0,0.44067799999999996,0.423729,1.2000000000000003e+183,12/30/1899,Charge payment for bundle renewal/activated
0,200744308,100578404,1000.0,1000.0,13,0.00016299999999999998,12.480001,10.169492,0.40678000000000003,1.903729,2761,5156,1524,5112.0,30.0,10.169492,1000.0,1.0,157780000000.0,5806.0,2.310509,1524.0,10.576272,10.169492,8.200000000000003e+183,12/30/1899,Charge payment for bundle renewal/activated
